Symbol,P/E FWD,EPS Estimate,EPS Actual,Sector,Quant Rating,Revenue 5Y,Price,Market Cap,Shares Outstanding,Total Debt,Last Price Vs. 200D SMA,EPS YoY,Last Quarter Announce Date,Last Price Vs. 10D SMA,Change %,Upcoming Announce Date,EPS Revision Grade
INTC,66.3,0.01017,0.13,Information Technology,3.11,-6.87%,20.54,87458100000,4362000000,50151000000,-7.29%,NM,4/24/2025,-6.05%,2.44%,7/24/2025,D+
INTU,35.83,2.6818,11.65,Information Technology,3.46,21.54%,748.455,2.01E+11,278947000,7087000000,15.46%,13.03%,5/22/2025,7.62%,3.93%,8/21/2025,A-
ISRG,68.98,1.9335,1.81,Health Care,3.06,13.61%,550.45,1.93E+11,358418240,0,3.35%,23.31%,4/22/2025,-3.02%,2.02%,7/15/2025,D+
ITW,23.44,2.55266,2.48,Industrials,2.82,2.72%,246.92,70947630000,293365980,8263000000,-5.05%,12.10%,4/30/2025,-2.36%,2.10%,7/31/2025,C-
JD,7.79,1.067512697,1.167358383,Consumer Discretionary,4.35,14.79%,32.51,48074027000,1441500000,12043141000,-8.42%,86.72%,5/13/2025,-3.41%,-2.52%,8/14/2025,B-
JNJ,14.42,2.68007,2.77,Health Care,3.4,1.55%,153.72,3.68E+11,2406073300,52252000000,-2.42%,32.50%,4/15/2025,0.97%,1.37%,7/16/2025,B-
JPM,14.18,4.42104,5.07,Financials,3.2,10.54%,264.95,7.25E+11,2779094500,1.08E+12,9.59%,23.06%,4/11/2025,-1.12%,1.63%,7/15/2025,C+
KGC,12.76,0.26456,0.3,Materials,4.93,9.16%,14.58,18272858000,1226800000,1253300000,34.60%,177.99%,5/6/2025,4.65%,-0.88%,7/30/2025,A-
KHC,10.09,0.64226,0.62,Consumer Staples,3.04,0.20%,26.755,31127157000,1183542100,21603000000,-16.80%,-4.39%,4/29/2025,-3.79%,1.73%,7/30/2025,C-
KKR,22.4,1.15018,1.15,Financials,2.96,93.81%,120.56,1.04E+11,890641900,51460583000,-11.77%,-46.92%,5/1/2025,-5.15%,2.88%,7/31/2025,D+
KLAC,23.36,8.5386,8.41,Information Technology,3.37,15.56%,790.01,1.00E+11,132241430,6089173000,6.46%,44.11%,4/30/2025,-3.42%,4.34%,7/25/2025,A-
KLG,10.89,0.3885,0.44628,Consumer Staples,3.04,-,17.47,1482856200,86262730,717000000,-5.18%,-51.73%,5/6/2025,-2.69%,1.63%,8/5/2025,B
KMB,19.93,1.66919,1.93,Consumer Staples,2.98,0.96%,142.67,46968560000,331816030,7284000000,3.17%,34.72%,4/22/2025,2.17%,0.79%,7/22/2025,C-
KMI,21.92,0.26963,0.34,Energy,3.21,3.76%,28.25,61906833000,2222068700,33200000000,7.81%,5.43%,4/16/2025,0.57%,1.40%,7/16/2025,B
KMX,16.41,1.21308,0.58,Consumer Discretionary,2.75,5.66%,63.05,9485881000,152334690,19426208000,-19.31%,6.29%,4/10/2025,-6.38%,1.25%,6/20/2025,B-
KO,24.2,0.83682,0.73,Consumer Staples,3.34,4.75%,71.825,3.09E+11,4304267000,49971000000,5.64%,0.01%,4/29/2025,1.14%,0.08%,7/29/2025,B+
KR,14.42,1.45458,1.14,Consumer Staples,3.33,3.77%,67.82,45670863000,665853060,25082000000,11.97%,23.99%,3/6/2025,0.39%,-1.12%,6/3/2025,B
KRC,26.98,0.30312,0.33,Real Estate,2.83,5.63%,32.59,3734612200,118280584,4726069000,-14.33%,-3.43%,5/5/2025,-2.59%,4.22%,7/25/2025,D
LEN,10.44,1.95878,2.2153,Consumer Discretionary,2.74,9.33%,107.81,27607736000,263794180,3864479000,-28.01%,-3.58%,3/20/2025,-3.68%,2.50%,-,F
LI,23.09,0.088866371,0.523647015,Consumer Discretionary,3.2,247.68%,28.23,29294047000,1013284300,2239309300,18.67%,-31.73%,3/14/2025,1.18%,-2.35%,5/29/2025,C
LIN,27.93,4.02512,3.95,Materials,3.14,3.33%,467.03,2.16E+11,470724480,23897000000,0.88%,6.99%,5/1/2025,0.71%,1.77%,7/31/2025,C
LITE,39.53,0.74561,0.57,Information Technology,4.79,-3.00%,78.2,5258438000,69400000,2609800000,7.72%,NM,5/6/2025,-0.67%,3.21%,8/14/2025,A+
LLY,32.75,5.52965,3.34,Health Care,3.09,16.24%,726.74,6.41E+11,897735700,38604300000,-14.74%,80.99%,5/1/2025,-3.08%,1.83%,8/7/2025,D
LMT,17.12,6.56539,7.28,Industrials,3.27,3.27%,475.02,1.10E+11,234295950,20304000000,-7.79%,-15.29%,4/22/2025,0.31%,1.31%,7/22/2025,B+
LOW,18.05,4.25947,2.92,Consumer Discretionary,3.1,2.36%,224.95,1.24E+11,559706560,38955000000,-11.27%,-3.09%,5/21/2025,-3.74%,1.76%,8/20/2025,C
LRCX,20.25,1.20117,1.04,Information Technology,3.4,12.25%,83.83,1.04E+11,1279118000,4484340000,5.32%,32.12%,4/23/2025,-3.06%,3.42%,7/31/2025,A
LSCC,44.45,0.24,0.22,Information Technology,1.62,3.92%,47.95,6413351400,137507540,21794000,-12.81%,-76.32%,5/5/2025,-9.08%,2.81%,8/7/2025,C-
LULU,20.77,2.59135,6.14,Consumer Discretionary,2.93,21.62%,320.54,37337973000,120150510,1575791000,-1.92%,20.00%,3/27/2025,-1.99%,3.15%,6/5/2025,C
